DateTime	Name	Gender	Product	Price	Department	Category	Amount
23/08/2018 10:37:40	Archie Nelson	m	Coffee_2022_2_3	0.3	Toon Squad	Coffee	1
23/08/2018 10:37:46	Archie Nelson	m	Coffee_2022_2_3	0.3	Toon Squad	Coffee	1
23/08/2018 10:47:57	Timo M.	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
23/08/2018 13:57:54	Douglas Powell	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
23/08/2018 14:00:52	Timo M.	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
27/08/2018 10:33:40	Emma Roman	f	Coffee_2022_2_3	0.3	Toon Squad	Coffee	1
28/08/2018 12:10:31	Timo M.	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
28/08/2018 12:48:33	Nicholas Thomas	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
28/08/2018 12:49:18	Benedikt V.	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
28/08/2018 14:38:37	Emma Roman	f	Coffee_2022_2_3	0.3	Toon Squad	Coffee	1
28/08/2018 14:39:21	Archie Nelson	m	Coffee_2022_2_3	0.3	Toon Squad	Coffee	1
28/08/2018 15:31:43	Isabella Doyle	f	Coffee_2022_2_3	0.3	Breakroom Bandits	Coffee	1
28/08/2018 17:51:47	Sean Moore	m	Andechs SPEZIAL Hell	1	Breakroom Bandits	Beer	1
28/08/2018 20:20:22	Nicholas Thomas	m	Bluna Orange 0.2 l	0.8	Recruitables	Beverage	1
28/08/2018 20:20:32	Nicholas Thomas	m	Stoertebeker Weizen	1	Recruitables	Beer	1
28/08/2018 20:20:50	Muhammed Sullivan	m	Glorietta Orange 0.5 l	0.8	Recruitables	Beverage	1
29/08/2018 09:29:58	Mary Becker	f	Coffee_2022_2_3	0.3	Toon Squad	Coffee	1
29/08/2018 09:30:07	Archie Nelson	m	Coffee_2022_2_3	0.3	Toon Squad	Coffee	1
29/08/2018 09:30:22	Emma Roman	f	Coffee_2022_2_3	0.3	Toon Squad	Coffee	1
29/08/2018 09:54:26	Chloe Perkins	f	Coffee_2022_2_3	0.3	Toon Squad	Coffee	1
29/08/2018 14:08:39	Ellie Wheeler	f	Coffee_2022_2_3	0.3	Toon Squad	Coffee	1
29/08/2018 14:09:38	Eleanor Macdonald	f	Coffee_2022_2_3	0.3	Toon Squad	Coffee	1
29/08/2018 14:15:43	Kevin S.	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
29/08/2018 14:16:52	Douglas Powell	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
29/08/2018 14:17:06	Timo M.	m	Bluna Orange 0.2 l	0.8	Recruitables	Beverage	1
29/08/2018 14:39:33	Benedikt V.	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
29/08/2018 14:46:48	Nicholas Thomas	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
29/08/2018 14:46:57	Muhammed Sullivan	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
29/08/2018 15:23:59	Kevin S.	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
29/08/2018 15:27:07	Zachary Mitchell	m	Coffee_2022_2_3	0.3	Breakroom Bandits	Coffee	1
29/08/2018 16:58:09	Kevin S.	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
29/08/2018 17:52:22	Abigail Payne	f	Karslberg Naturradler_2022_4_12	0.8	Employees of the Moment	Beer	1
29/08/2018 17:52:37	Philip Reilly	m	Karslberg Naturradler_2022_4_12	0.8	Employees of the Moment	Beer	1
29/08/2018 17:52:54	Hugo Green	m	Karslberg Helles_2022_4_12	0.8	Breakroom Bandits	Beer	1
30/08/2018 08:57:09	Scott Woods	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
30/08/2018 10:00:37	Douglas Powell	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
30/08/2018 10:07:31	Nicholas Thomas	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
30/08/2018 10:09:38	Benedikt V.	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
30/08/2018 10:10:36	Muhammed Sullivan	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
30/08/2018 13:30:06	Zachary Mitchell	m	Coffee_2022_2_3	0.3	Breakroom Bandits	Coffee	1
30/08/2018 13:41:52	Douglas Powell	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
30/08/2018 13:44:47	Muhammed Sullivan	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
31/08/2018 09:11:37	Benedikt V.	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
31/08/2018 09:14:51	Eleanor Macdonald	f	Coffee_2022_2_3	0.3	Toon Squad	Coffee	1
31/08/2018 09:18:39	Archie Nelson	m	Coffee_2022_2_3	0.3	Toon Squad	Coffee	1
31/08/2018 09:24:27	Muhammed Sullivan	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
31/08/2018 10:26:06	Mary Becker	f	Bluna Orange 0.2 l	0.8	Toon Squad	Beverage	1
31/08/2018 10:27:14	Timo M.	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
31/08/2018 10:58:11	Scott Woods	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
31/08/2018 16:52:04	Zachary Mitchell	m	Andechs SPEZIAL Hell	1	Breakroom Bandits	Beer	1
01/09/2018 15:18:49	Philip Reilly	m	Glorietta Cola 0.5 l	0.8	Employees of the Moment	Beverage	1
03/09/2018 08:20:43	Benedikt V.	m	Coffee_2022_2_3	0.3	Recruitables	Coffee	1
